treatment_protocol,cell_line,srx_id,srr_id,geo_id
Untreated,N61311,SRX384345,SRR1039508,GSM1275862
Dexamethasone,N61311,SRX384346,SRR1039509,GSM1275863
Albuterol,N61311,SRX384347,SRR1039510,GSM1275864
Albuterol_Dexamethasone,N61311,SRX384348,SRR1039511,GSM1275865
Untreated,N052611,SRX384349,SRR1039512,GSM1275866
Dexamethasone,N052611,SRX384350,SRR1039513,GSM1275867
Albuterol,N052611,SRX384351,SRR1039514,GSM1275868
Albuterol_Dexamethasone,N052611,SRX384352,SRR1039515,GSM1275869
Untreated,N080611,SRX384353,SRR1039516,GSM1275870
Dexamethasone,N080611,SRX384354,SRR1039517,GSM1275871
Albuterol,N080611,SRX384355,SRR1039518,GSM1275872
Albuterol_Dexamethasone,N080611,SRX384356,SRR1039519,GSM1275873
Untreated,N061011,SRX384357,SRR1039520,GSM1275874
Dexamethasone,N061011,SRX384358,SRR1039521,GSM1275875
Albuterol,N061011,SRX384359,SRR1039522,GSM1275876
Albuterol_Dexamethasone,N061011,SRX384360,SRR1039523,GSM1275877
